Machinename quartz Date 2019-08-02 15:06:37.213476 Discretization Type sdm_ld fem_unlump Parallel run F,,,,,,,,,,,,,,,,,,
Nx,Ny,Nz,Nm,Ng,Np,Px,Py,Pz,Ax,Ay,Az,Ami,Ag,Scattering Moments,Overall Time,Sweep Time,Grind Time,Over All Memory
8,8,8,168,1,1,1,1,1,8,8,8,1,1,1,1.61,1.38,401.08817,45
8,8,8,168,1,1,1,1,1,8,8,8,3,1,1,0.775,0.609,177.001953,30
8,8,8,168,1,1,1,1,1,8,8,8,7,1,1,0.547,0.397,115.38551,26
8,8,8,168,1,1,1,1,1,8,8,8,21,1,1,0.429,0.288,83.705357,24
8,8,8,168,27,1,1,1,1,1,1,1,1,27,1,7.65,7.11,76.536148,337
8,8,8,168,27,1,1,1,1,1,1,1,3,27,1,4.75,4.27,45.964747,173
8,8,8,168,27,1,1,1,1,1,1,1,7,27,1,3.46,3.02,32.509025,116
8,8,8,168,27,1,1,1,1,1,1,1,21,27,1,3.03,2.59,27.880257,96
8,8,8,168,27,1,1,1,1,1,1,2,1,27,1,6.08,5.56,59.851053,229
8,8,8,168,27,1,1,1,1,1,1,2,3,27,1,4.02,3.55,38.214251,124
8,8,8,168,27,1,1,1,1,1,1,2,7,27,1,3.28,2.84,30.571401,101
8,8,8,168,27,1,1,1,1,1,1,2,21,27,1,2.94,2.51,27.01909,90
8,8,8,168,27,1,1,1,1,1,1,4,1,27,1,5.31,4.79,51.562328,172
8,8,8,168,27,1,1,1,1,1,1,4,3,27,1,3.67,3.21,34.554295,108
8,8,8,168,27,1,1,1,1,1,1,4,7,27,1,3.14,2.7,29.06436,93
8,8,8,168,27,1,1,1,1,1,1,4,21,27,1,3.31,2.84,30.571401,87
8,8,8,168,27,1,1,1,1,1,1,8,1,27,1,4.91,4.41,47.471788,142
8,8,8,168,27,1,1,1,1,1,1,8,3,27,1,3.52,3.07,33.047254,100
8,8,8,168,27,1,1,1,1,1,1,8,7,27,1,3.07,2.63,28.31084,89
8,8,8,168,27,1,1,1,1,1,1,8,21,27,1,2.85,2.43,26.157924,85
8,8,8,168,27,1,1,1,1,1,2,1,1,27,1,6.21,5.68,61.142802,229
8,8,8,168,27,1,1,1,1,1,2,1,3,27,1,3.96,3.51,37.783668,124
8,8,8,168,27,1,1,1,1,1,2,1,7,27,1,3.26,2.82,30.356109,101
8,8,8,168,27,1,1,1,1,1,2,1,21,27,1,2.94,2.51,27.01909,90
8,8,8,168,27,1,1,1,1,1,2,2,1,27,1,5.41,4.89,52.638786,170
8,8,8,168,27,1,1,1,1,1,2,2,3,27,1,3.72,3.27,35.200169,107
8,8,8,168,27,1,1,1,1,1,2,2,7,27,1,3.32,2.86,30.786693,93
8,8,8,168,27,1,1,1,1,1,2,2,21,27,1,2.89,2.46,26.480861,86
8,8,8,168,27,1,1,1,1,1,2,4,1,27,1,4.89,4.37,47.041205,140
8,8,8,168,27,1,1,1,1,1,2,4,3,27,1,3.55,3.1,33.370191,98
8,8,8,168,27,1,1,1,1,1,2,4,7,27,1,3.08,2.64,28.418485,89
8,8,8,168,27,1,1,1,1,1,2,4,21,27,1,3.11,2.64,28.418485,85
8,8,8,168,27,1,1,1,1,1,2,8,1,27,1,4.7,4.2,45.211227,124
8,8,8,168,27,1,1,1,1,1,2,8,3,27,1,3.46,3,32.293733,94
8,8,8,168,27,1,1,1,1,1,2,8,7,27,1,3.01,2.58,27.772611,87
8,8,8,168,27,1,1,1,1,1,2,8,21,27,1,2.86,2.42,26.050278,84
8,8,8,168,27,1,1,1,1,1,4,1,1,27,1,5.35,4.84,52.100557,172
8,8,8,168,27,1,1,1,1,1,4,1,3,27,1,3.71,3.25,34.984878,108
8,8,8,168,27,1,1,1,1,1,4,1,7,27,1,3.14,2.7,29.06436,93
8,8,8,168,27,1,1,1,1,1,4,1,21,27,1,2.87,2.44,26.26557,87
8,8,8,168,27,1,1,1,1,1,4,2,1,27,1,4.92,4.4,47.364142,140
